Datasource:,https://walmart-open-data-walmarttech.opendata.arcgis.com/maps/walmarttech::walmart-store-status-web-map/about,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OID_,businessunit_name,businessunit_number,businessunit_banner_description,businessunit_type_description,businessunit_isstoreopen,facilitydetails_location_locati,facilitydetails_location_loca_1,facilitydetails_location_loca_2,facilitydetails_location_loca_3,facilitydetails_location_loca_8,businessunit_status_code,op_status,Modified_Operating_Hours_,Pharmacy_open_to_public_,Fuel_Station_open_to_public_,bu_num,Grocery_delivery_service,Grocery_delivery_status,Online_grocery_pickup,Online_grocery_pickup_status
15281,RAYTOWN MO,1094,WM Supercenter,Retail,1,10300 E HIGHWAY 350,RAYTOWN,JACKSON,MO,64138-1803,5,Open,,Y,Y,1094,No,Available,No,Available
15282,GLENWOOD SPRINGS CO,1095,Wal-Mart,Retail,1,3010 BLAKE AVE,GLENWOOD SPRINGS,GARFIELD,CO,81601-4400,5,Open,,Y,Y,1095,No,Not Available,No,Not Available
15283,MOCKSVILLE NC,1096,WM Supercenter,Retail,1,261 COOPER CREEK DR,MOCKSVILLE,DAVIE,NC,27028-5967,5,Open,,Y,Y,1096,No,,Yes,Available
15284,"ABERDEEN, NC",1097,WM Supercenter,Retail,1,250 TURNER ST,ABERDEEN,MOORE,NC,28315-2363,5,Open,,Y,Y,1097,No,,No,Available
15285,PORT LAVACA TX,1098,WM Supercenter,Retail,1,400 TINEY BROWNING BLVD,PORT LAVACA,CALHOUN,TX,77979-5215,5,Open,,Y,Y,1098,No,,No,
15286,WICHITA KS,1099,WM Supercenter,Retail,1,501 E PAWNEE ST,WICHITA,SEDGWICK,KS,67211-4944,5,Open,,Y,Y,1099,No,Available,Yes,Available
15287,MOUNTAIN HOME AR,11,WM Supercenter,Retail,1,65 WAL MART DR,MOUNTAIN HOME,BAXTER,AR,72653-6784,5,Open,,Y,Y,11,No,,No,Available
15288,WINTER GARDEN FL,110,WM Supercenter,Retail,1,16313 NEW INDEPENDENCE PARKWAY,WINTER GARDEN,ORANGE,FL,34787-0000,2,Open,,Y,Y,110,No,,Yes,Available
15289,HAMILTON AL,1100,WM Supercenter,Retail,1,1706 MILITARY ST S,HAMILTON,MARION,AL,35570-5021,5,Open,,Y,Y,1100,No,,No,
15290,WETUMPKA AL,1101,WM Supercenter,Retail,1,4538 US HIGHWAY 231,WETUMPKA,ELMORE,AL,36092-3333,5,Open,,Y,Y,1101,No,,No,Available
15291,BAKER LA,1102,WM Supercenter,Retail,1,14507 PLANK RD,BAKER,EAST BATON ROUGE,LA,70714-5431,5,Open,,Y,Y,1102,No,Available,No,Available
15292,HOUSTON (CORNERSTONE) TX,1103,WM Supercenter,Retail,1,3450 FM 1960 RD W,HOUSTON,HARRIS,TX,77068-3606,5,Open,,Y,Y,1103,No,Available,Yes,Available
15293,INVERNESS FL,1104,WM Supercenter,Retail,1,2461 E GULF TO LAKE HWY,INVERNESS,CITRUS,FL,34453-3232,5,Open,,Y,Y,1104,No,,No,Available
15294,NORTH LITTLE ROCK AR,1105,WM Supercenter,Retail,1,4450 E MCCAIN BLVD,NORTH LITTLE ROCK,PULASKI,AR,72117-2519,5,Open,,Y,Y,1105,No,Available,No,Available
15295,"VIDALIA, LA",1106,WM Supercenter,Retail,1,4283 CARTER ST,VIDALIA,CONCORDIA,LA,71373-3148,5,Open,,Y,Y,1106,No,,No,Not Available
15296,OAKDALE LA,1107,WM Supercenter,Retail,1,1900 HIGHWAY 165 S,OAKDALE,ALLEN,LA,71463-5098,5,Open,,Y,Y,1107,No,,No,
15297,"OAK GROVE, LA",1108,WM Supercenter,Retail,1,705 S CONSTITUTION AVE,OAK GROVE,WEST CARROLL,LA,71263-9095,5,Open,,Y,Y,1108,No,,Yes,
15298,RAYVILLE LA,1109,WM Supercenter,Retail,1,1806 JULIA ST,RAYVILLE,RICHLAND,LA,71269-5560,5,Open,,Y,Y,1109,No,,No,Available
15299,CHANUTE KS,111,WM Supercenter,Retail,1,2700 S SANTA FE AVE,CHANUTE,NEOSHO,KS,66720-3204,5,Open,,Y,Y,111,No,,No,Available
15300,FARMERVILLE LA,1110,WM Supercenter,Retail,1,833 STERLINGTON HWY,FARMERVILLE,UNION,LA,71241-3805,5,Open,,Y,Y,1110,Yes,Available,Yes,Available
15301,HARTWELL GA,1111,WM Supercenter,Retail,1,1572 ANDERSON HWY,HARTWELL,HART,GA,30643-7197,5,Open,,Y,Y,1111,Yes,Available,Yes,Available
15302,THOMASTON GA,1112,WM Supercenter,Retail,1,855 N CHURCH ST,THOMASTON,UPSON,GA,30286-3622,5,Open,,Y,Y,1112,No,,Yes,
15303,"LONDON, KY",1113,WM Supercenter,Retail,1,1851 HIGHWAY 192 W,LONDON,LAUREL,KY,40741-3032,5,Open,,Y,Y,1113,No,,No,Available
15304,"MOUNTAIN VIEW, AR",1114,WM Supercenter,Retail,1,409 SYLAMORE AVE,MOUNTAIN VIEW,STONE,AR,72560-8607,5,Open,,Y,Y,1114,No,,Yes,
15305,HOHENWALD TN,1115,WM Supercenter,Retail,1,612 E MAIN ST,HOHENWALD,LEWIS,TN,38462-2008,5,Open,,Y,Y,1115,No,,No,
15306,DUNCAN OK,1116,WM Supercenter,Retail,1,3393 N 81 HWY,DUNCAN,STEPHENS,OK,73533-1413,5,Open,,Y,Y,1116,No,,Yes,Available
15307,PLANO TX,1117,WM Supercenter,Retail,1,6001 N CENTRAL EXPY,PLANO,COLLIN,TX,75023-4702,5,Open,,Y,Y,1117,No,Available,No,Available
